crate	Apache-2.0	BSD-2-Clause	BSD-3-Clause	ISC	MIT	Unicode-3.0	Unlicense	Zlib
anyhow@1.0.104	X				X			
arrayref@0.3.9		X						
asn1-rs@0.7.2	X				X			
asn1-rs-derive@0.6.0	X				X			
asn1-rs-impl@0.2.0	X				X			
asn1_der@0.7.7		X			X			
async-trait@0.1.92	X				X			
asynchronous-codec@0.7.0					X			
autocfg@1.5.1	X				X			
base-x@0.2.11					X			
base256emoji@1.0.2					X			
base45@3.2.0					X			
base64@0.22.1	X				X			
bitflags@2.13.1	X				X			
block-buffer@0.10.4	X				X			
bs58@0.5.1	X				X			
byteorder@1.5.0					X		X	
bytes@1.12.1					X			
cc@1.4.4	X				X			
cfg-if@1.0.4	X				X			
cfg_aliases@0.2.2					X			
chacha20@0.10.1	X				X			
const-str@0.4.3					X			
convert_case@0.11.0					X			
core-foundation@0.9.4	X				X			
core-foundation-sys@0.8.7	X				X			
cpufeatures@0.2.17	X				X			
cpufeatures@0.3.0	X				X			
critical-section@1.2.0	X				X			
crossbeam-channel@0.5.16	X				X			
crossbeam-epoch@0.9.20	X				X			
crossbeam-utils@0.8.22	X				X			
crunchy@0.2.4					X			
crypto-common@0.1.7	X				X			
ctor@1.0.13	X				X			
curve25519-dalek@4.1.3			X					
curve25519-dalek-derive@0.1.1	X				X			
data-encoding@2.11.1					X			
data-encoding-macro@0.1.21					X			
data-encoding-macro-internal@0.1.19					X			
der-parser@10.0.0	X				X			
deranged@0.5.8	X				X			
digest@0.10.7	X				X			
displaydoc@0.2.7	X				X			
ed25519@2.2.3	X				X			
ed25519-dalek@2.2.0			X					
either@1.18.0	X				X			
enum-as-inner@0.6.1	X				X			
equivalent@1.0.2	X				X			
fastbloom@0.17.0	X				X			
find-msvc-tools@0.1.11	X				X			
fnv@1.0.7	X				X			
foldhash@0.1.5								X
foldhash@0.2.0								X
form_urlencoded@1.2.2	X				X			
futures@0.3.34	X				X			
futures-bounded@0.2.4					X			
futures-channel@0.3.34	X				X			
futures-core@0.3.34	X				X			
futures-executor@0.3.34	X				X			
futures-io@0.3.34	X				X			
futures-macro@0.3.34	X				X			
futures-rustls@0.26.0	X				X			
futures-sink@0.3.34	X				X			
futures-task@0.3.34	X				X			
futures-timer@3.0.4	X				X			
futures-util@0.3.34	X				X			
generic-array@0.14.7					X			
getrandom@0.2.17	X				X			
getrandom@0.3.4	X				X			
getrandom@0.4.3	X				X			
hashbrown@0.15.5	X				X			
hashlink@0.10.0	X				X			
heck@0.5.0	X				X			
hex@0.4.3	X				X			
hickory-proto@0.25.2	X				X			
hickory-resolver@0.25.2	X				X			
hkdf@0.12.4	X				X			
hmac@0.12.1	X				X			
icu_collections@2.3.0						X		
icu_locale_core@2.3.0						X		
icu_normalizer@2.3.0						X		
icu_normalizer_data@2.3.0						X		
icu_properties@2.3.0						X		
icu_properties_data@2.3.0						X		
icu_provider@2.3.1						X		
idna@1.1.0	X				X			
idna_adapter@1.2.2	X				X			
if-addrs@0.15.0			X		X			
if-watch@3.2.2	X				X			
ipconfig@0.3.4	X				X			
ipnet@2.12.1	X				X			
itertools@0.14.0	X				X			
lazy_static@1.5.0	X				X			
libc@0.2.189	X				X			
libloading@0.9.0				X				
libm@0.2.16					X			
libp2p@0.56.0					X			
libp2p-allow-block-list@0.6.0					X			
libp2p-connection-limits@0.6.0					X			
libp2p-core@0.43.2					X			
libp2p-dcutr@0.14.1					X			
libp2p-dns@0.44.0					X			
libp2p-identify@0.47.0					X			
libp2p-identity@0.2.14					X			
libp2p-kad@0.48.0					X			
libp2p-noise@0.46.1					X			
libp2p-ping@0.47.0					X			
libp2p-quic@0.13.1					X			
libp2p-relay@0.21.1					X			
libp2p-swarm@0.47.1					X			
libp2p-swarm-derive@0.35.1					X			
libp2p-tcp@0.44.1					X			
libp2p-tls@0.6.2					X			
libp2p-yamux@0.47.0					X			
litemap@0.8.3						X		
lock_api@0.4.14	X				X			
log@0.4.34	X				X			
lru-slab@0.1.2	X				X			X
maka-runtime-host-peer@0.0.0	X							
match-lookup@0.1.3					X			
memchr@2.8.3					X		X	
minimal-lexical@0.2.1	X				X			
mio@1.2.2					X			
moka@0.12.16	X				X			
multiaddr@0.18.2					X			
multibase@0.9.3					X			
multihash@0.19.5					X			
multistream-select@0.13.0					X			
napi@3.12.2					X			
napi-build@2.4.1					X			
napi-derive@3.6.3					X			
napi-derive-backend@6.1.2					X			
napi-sys@3.3.0					X			
netlink-packet-core@0.8.2					X			
netlink-packet-route@0.28.0					X			
netlink-proto@0.12.2					X			
netlink-sys@0.8.8					X			
nix@0.30.1					X			
nohash-hasher@0.2.0	X				X			
nom@7.1.3					X			
num-bigint@0.4.8	X				X			
num-conv@0.2.2	X				X			
num-integer@0.1.47	X				X			
num-traits@0.2.19	X				X			
oid-registry@0.8.1	X				X			
once_cell@1.21.4	X				X			
parking_lot@0.12.5	X				X			
parking_lot_core@0.9.12	X				X			
paste@1.0.15	X				X			
pem@3.0.6					X			
percent-encoding@2.3.2	X				X			
pin-project@1.1.13	X				X			
pin-project-internal@1.1.13	X				X			
pin-project-lite@0.2.17	X				X			
portable-atomic@1.15.0	X				X			
potential_utf@0.1.6						X		
powerfmt@0.2.0	X				X			
ppv-lite86@0.2.21	X				X			
proc-macro2@1.0.107	X				X			
prost@0.14.4	X							
prost-derive@0.14.4	X							
quick-protobuf@0.8.1					X			
quick-protobuf-codec@0.3.1					X			
quinn@0.11.11	X				X			
quinn-proto@0.11.17	X				X			
quinn-udp@0.5.15	X				X			
quote@1.0.47	X				X			
rand@0.10.2	X				X			
rand@0.8.8	X				X			
rand@0.9.5	X				X			
rand_chacha@0.3.1	X				X			
rand_chacha@0.9.0	X				X			
rand_core@0.10.1	X				X			
rand_core@0.6.4	X				X			
rand_core@0.9.5	X				X			
rand_pcg@0.10.2	X				X			
rcgen@0.13.2	X				X			
resolv-conf@0.7.6	X				X			
ring@0.17.14	X			X				
rtnetlink@0.20.0					X			
rustc-hash@2.1.3	X				X			
rustc_version@0.4.1	X				X			
rusticata-macros@4.1.0	X				X			
rustls@0.23.43	X			X	X			
rustls-pki-types@1.15.1	X				X			
rustls-webpki@0.103.15				X				
rw-stream-sink@0.4.0					X			
scopeguard@1.2.0	X				X			
semver@1.0.28	X				X			
serde@1.0.229	X				X			
serde_core@1.0.229	X				X			
sha2@0.10.9	X				X			
shlex@2.0.1	X				X			
signature@2.2.0	X				X			
siphasher@1.0.3	X				X			
slab@0.4.12					X			
smallvec@1.15.2	X				X			
snow@0.9.6	X				X			
socket2@0.5.10	X				X			
socket2@0.6.5	X				X			
stable_deref_trait@1.2.1	X				X			
static_assertions@1.1.0	X				X			
subtle@2.6.1			X					
syn@2.0.119	X				X			
syn@3.0.4	X				X			
synstructure@0.13.2					X			
system-configuration@0.7.0	X				X			
system-configuration-sys@0.6.0	X				X			
tagptr@0.2.0	X				X			
thiserror@1.0.69	X				X			
thiserror@2.0.20	X				X			
thiserror-impl@1.0.69	X				X			
thiserror-impl@2.0.20	X				X			
time@0.3.55	X				X			
time-core@0.1.9	X				X			
time-macros@0.2.32	X				X			
tinystr@0.8.4						X		
tinyvec@1.12.0	X				X			X
tinyvec_macros@0.1.1	X				X			X
tokio@1.53.1					X			
tokio-macros@2.7.2					X			
tracing@0.1.44					X			
tracing-attributes@0.1.31					X			
tracing-core@0.1.36					X			
typenum@1.20.1	X				X			
uint@0.10.1	X				X			
unicode-ident@1.0.24	X				X	X		
unicode-segmentation@1.13.3	X				X			
unsigned-varint@0.7.2					X			
unsigned-varint@0.8.0					X			
untrusted@0.9.0				X				
url@2.5.8	X				X			
utf8_iter@1.0.4	X				X			
uuid@1.25.0	X				X			
version_check@0.9.5	X				X			
web-time@1.1.0	X				X			
widestring@1.2.1	X				X			
windows@0.62.2	X				X			
windows-collections@0.3.2	X				X			
windows-core@0.62.2	X				X			
windows-future@0.3.2	X				X			
windows-implement@0.60.2	X				X			
windows-interface@0.59.3	X				X			
windows-link@0.2.1	X				X			
windows-numerics@0.3.1	X				X			
windows-registry@0.6.1	X				X			
windows-result@0.4.1	X				X			
windows-strings@0.5.1	X				X			
windows-sys@0.52.0	X				X			
windows-sys@0.61.2	X				X			
windows-targets@0.52.6	X				X			
windows-threading@0.2.1	X				X			
windows_x86_64_gnu@0.52.6	X				X			
windows_x86_64_msvc@0.52.6	X				X			
writeable@0.6.4						X		
x25519-dalek@2.0.1			X					
x509-parser@0.17.0	X				X			
yamux@0.12.1	X				X			
yamux@0.13.10	X				X			
yasna@0.5.2	X				X			
yoke@0.8.3						X		
yoke-derive@0.8.2						X		
zerocopy@0.8.56	X	X			X			
zerofrom@0.1.8						X		
zerofrom-derive@0.1.7						X		
zeroize@1.9.0	X				X			
zeroize_derive@1.5.0	X				X			
zerotrie@0.2.5						X		
zerovec@0.11.8						X		
zerovec-derive@0.11.6						X		
